2019-12-01,People,Ruby's birthday party
2019-12-02,People,Eric Stanley
2019-12-03,Teach,Time analysis of teaching investment
2019-12-04,Teach,Stacie is guest speaker in BACS 200
2019-12-05,Teach,Create career plan 2020/2021
2019-12-06,Teach,Discuss software engineering courses with Moe
2019-12-07,Teach,Create outline for Software Engineering class
2019-12-08,Fun,Graphic novel - Berezina
2019-12-09,Business,Close Shrinking World credit union account
2019-12-10,Teach,Meet with Moe about Software Engineering class content
2019-12-11,Teach,Build outline for Software Engineering class
2019-12-12,Church,Small group Christmas party (Penas struggles)
2019-12-13,Grow,Begin work on Objectives & Key Results
2019-12-14,Business,Discover Wealthfront and robo-advisors
2019-12-15,Grow,Build monthly objectives process
2019-12-16,Grow,Objectives for Spring Trimester
2019-12-17,Write,Lessons and projects for Software Engineering
2019-12-18,Teach,Discover SIGCSE conference
2019-12-19,Tools,Create new git repos
2019-12-20,Fun,Fly to New Orleans
2019-12-21,Fun,Amazing condo in Orange Beach
2019-12-22,,
2019-12-23,,
2019-12-24,,
2019-12-25,,
2019-12-26,,
2019-12-27,,
2019-12-28,,
2019-12-29,,
2019-12-30,,
2019-12-31,,
